index,titulo,autor,disp,genero,n_pags,editora 
 136,"As Férias da Minha Vida","Clara Savelli",DISPONIVEL,"Ficção / Jovem adulto / Literatura Brasileira / Romance ",336,Intrínseca 
 137,"Bird Box: Caixa de Pássaros","Josh Malerman",DISPONIVEL,"Ficção / Horror / Literatura Estrangeira / Romance / Romance policial / Suspense e Mistério ",320,Intrínseca 
 138,"O Labirinto do Fauno","Cornelia Maria Funke",DISPONIVEL,"Fantasia / Ficção / Literatura Estrangeira ",320,Intrínseca 
 139,"Medicina dos Horrores","Lindsey Fitzharris",DISPONIVEL,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Medicina e Saúde / Não-ficção ",320,Intrínseca 
 140,"Mundo Em Caos (Vol. 1)","Patrick Ness",DISPONIVEL," ",0,Intrínseca 
 141,"O desaparecimento de Josef Mengele"," Olivier Guez ",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",224,Intrínseca 
 142,Pátria,"Fernando Aramburu",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",512,Intrínseca 
 143,Pátria,"Fernando Aramburu",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",512,Intrínseca 
 144,"Contato de Emergência","Mary H.K. Choi",DISPONIVEL,"Ficção / Humor, Comédia / Jovem adulto / Literatura Estrangeira / Romance ",336,Intrínseca 
 145,"Teto Para Dois","Beth O'Leary",DISPONIVEL," Mas será que essa solução aparentemente perfeita resiste a um ex-namorado obsessivo, uma namorada ciumenta, um irmão encrencado, dois empregos exigentes e alguns amigos superprotetores?Ficção / Humor, Comédia / Literatura Estrangeira / Romance ",400,Intrínseca 
 146,"Caçadores de Nazistas","Andrew Nagorski",DISPONIVEL,"Biografia, Autobiografia, Memórias / História / Literatura Estrangeira / Não-ficção ",432,Intrínseca 
 147,"Pare Com Essa Merda","Gary John Bishop",DISPONIVEL,"Autoajuda / Literatura Estrangeira / Não-ficção ",208,Intrínseca 
 148,Inspeção,"Josh Malerman",DISPONIVEL,"Ficção / Literatura Estrangeira / Suspense e Mistério ",416,Intrínseca 
 149,Serpentário,"Felipe Castilho",DISPONIVEL,"Fantasia / Ficção científica / Horror / Literatura Brasileira ",368,Intrínseca 
 150,"Rede de Sussurros","Chandler Baker",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ",384,Intrínseca 
 151,Agassi,"Andre Agassi",DISPONIVEL,"Biografia, Autobiografia, Memórias / Esportes / Literatura Estrangeira ",448,Intrínseca 
 152,"O Construtor de Pontes","Markus Zusak",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",572,Intrínseca 
 153,"Medicina Dos Horrores","Lindsey Fitzharris",DISPONIVEL,"Medicina e Saúde ",320,Intrínseca 
 154,"Um Caminho Para a Liberdade","Jojo Moyes",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",368,Intrínseca 
 155,Cem,"Valerio Vidali ",DISPONIVEL,"Ficção / Literatura Estrangeira ",208,Intrínseca 
 156,"Cova 312","Daniela Arbex",DISPONIVEL,"Biografia, Autobiografia, Memórias / História do Brasil / Literatura Brasileira / Não-ficção ",336,Intrínseca 
 157,"Histórias das Histórias que Contei","Vinícius Dônola",DISPONIVEL,"Biografia, Autobiografia, Memórias / Literatura Brasileira / Não-ficção ",328,Intrínseca 
 158,"A Tumba do Tirano","Rick Riordan",DISPONIVEL,"Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira ",368,Intrínseca 
 159,"Rede de Sussurros","Chandler Baker",DISPONIVEL," Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ",384,Intrínseca 
 160,"Tim Cook: O Gênio que Mudou o Futuro da Apple","Leander Kahney",DISPONIVEL,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção / Negócios e Empreendedorismo ",336,Intrínseca 
 161,"Me Encontre"," André Aciman ",DISPONIVEL,"Ficção / LGBT / GLS / Literatura Estrangeira / Romance ",272,Intrínseca 
 162,"Um Caminho Para a Liberdade","Jojo Moyes",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",368,Intrínseca 
 163,"Descender: Estrelas de Lata","Jeff Lemire",DISPONIVEL,"Ficção científica / HQ, comics, mangá / Literatura Estrangeira ",144,Intrínseca 
 164,"Ada Batista; Cientista","Andrea Beaty",DISPONIVEL,"Outros títulos da coleçãoPaulo Roberto, arquiteto; Rita Bandeira, engenheira; Sofia Pimenta, futura presidentaInfantil / Literatura Estrangeira ",32,Intrínseca 
 165,"Café Da Manhã Dos Campeões","Kurt Vonnegut",DISPONIVEL,"Ficção / Literatura Estrangeira ",400,Intrínseca 
 166,"A Quietude É A Chave","Ryan Holiday",DISPONIVEL,"Autoajuda / Literatura Estrangeira ",288,Intrínseca 
 167,"Segredo De Justiça","Andréa Pachá",DISPONIVEL,"Literatura Brasileira ",256,Intrínseca 
 168,"Rita Bandeira; Engenheira","Andrea Beaty",DISPONIVEL," Outros títulos da coleção Paulo Roberto, arquiteto; Ada Batista, cientista; Sofia Pimenta, futura presidentaInfantojuvenil / Literatura Estrangeira ",32,Intrínseca 
 169,"Sofia Pimenta; Futura Presidenta","Andrea Beaty",DISPONIVEL,"Infantojuvenil / Literatura Estrangeira ",40,Intrínseca 
 170,"Paulo Roberto; Arquiteto","Andrea Beaty",DISPONIVEL,"Infantojuvenil / Literatura Estrangeira ",32,Intrínseca 
 171,"Quem é você; Alasca?","John Green",DISPONIVEL,"Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ",336,Intrínseca 
 172,"Os Segredos que Guardamos","Lara Prescott",DISPONIVEL,"História Geral / Literatura Estrangeira / Não-ficção ",365,Intrínseca 
 173,"Na Raça","Maria Luíza Filgueiras",DISPONIVEL,"Literatura Estrangeira / Negócios e Empreendedorismo ",240,Intrínseca 
 174,"REDE DE SUSSURROS","Chandler Baker",DISPONIVEL,"EDIÇÃO EBOOKFicção / Literatura Estrangeira / Romance / Suspense e Mistério ",384,Intrínseca 
 175,"A Última Festa","Lucy Foley",DISPONIVEL," Com uma trama assustadora e brilhantemente construída, A Última Festa planta no leitor a semente da dúvida: será que velhos amigos são sempre os melhores amigos?Crime / Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério ",304,Intrínseca 
 176,Pátria,"Fernando Aramburu",DISPONIVEL," ",512,Intrínseca 
 177,"Teto Para Dois","Beth O'Leary",DISPONIVEL," Mas será que essa solução aparentemente perfeita resiste a um ex-namorado obsessivo, uma namorada ciumenta, um irmão encrencado, dois empregos exigentes e alguns amigos superprotetores? ",400,Intrínseca 
 178,"F*deu geral","Mark Manson",DISPONIVEL,"Autoajuda / Não-ficção ",224,Intrínseca 
 179,"O Labirinto de Fogo","Rick Riordan",DISPONIVEL,"Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ",368,Intrínseca 
 180,"Um Lugar Bem Longe Daqui","Delia Owens",DISPONIVEL,"Drama / Suspense e Mistério ",336,Intrínseca 
 181,"Cinquenta tons de liberdade: O capítulo final","E.L. James",DISPONIVEL,"Erótico / Ficção / Literatura Estrangeira / Romance ",544,Intrínseca 
 182,"Ainda Sou Eu","Jojo Moyes",DISPONIVEL," E, quando a situação atinge um ponto crítico, ela precisa se perguntar: Quem é Louisa Clark? E como é possível reconciliar um coração dividido?Ficção / Literatura Estrangeira / Romance / Drama ",400,Intrínseca 
 183,"O Senhor do Caos","Robert Jordan",DISPONIVEL," Chicago Sun-TimesFicção / Literatura Estrangeira ",1072,Intrínseca 
 184,"Me Chame Pelo Seu Nome"," André Aciman ",DISPONIVEL,"Ficção / LGBT / GLS / Literatura Estrangeira / Romance / Drama ",288,Intrínseca 
 185,"Ainda Sou Eu","Jojo Moyes",DISPONIVEL," E, quando a situação atinge um ponto crítico, ela precisa se perguntar: Quem é Louisa Clark? E como é possível reconciliar um coração dividido?Ficção / Literatura Estrangeira / Romance / Drama ",400,Intrínseca 
 186,"O método TB12","Tom Brady",DISPONIVEL,"Esportes / Literatura Estrangeira / Não-ficção ",320,Intrínseca 
