,titulo,autor,disp
376,O som do Amor - Edição Econômica,Jojo Moyes,/DISPONIVEL
377,Paris para Um e Outros Contos,Jojo Moyes,/DISPONIVEL
378,Agora e para sempre; Lara Jean,Jenny Han,/DISPONIVEL
379,O navio dos mortos,Rick Riordan,/DISPONIVEL
380,Rejuvelhecer,Sergio Abramoff,/DISPONIVEL
381,Ordem Vermelha: Filhos da Degradação (Vol. 1),Felipe Castilho,/DISPONIVEL
382,Cidade dos Etéreos,Ransom Riggs,/DISPONIVEL
383,Sr. Tigre solto na selva ,Peter Brown,/DISPONIVEL
384,O nadador,Joakim Zander,/DISPONIVEL
385,Vale-tudo da notícia ,Nick Davies,/DISPONIVEL
386,Depois de você,Jojo Moyes,/DISPONIVEL
387,O Regresso,Michael Punke,/DISPONIVEL
388,Trumbo,Bruce Cook,/DISPONIVEL
389,A arte do descaso,Cristina Tardáguila,/DISPONIVEL
390,Simon vs. a agenda Homo Sapiens ,Becky Albertalli,/DISPONIVEL
391,Uma vida no escuro,Anna Lyndsey,/DISPONIVEL
392,O universo numa casca de noz,Stephen Hawking,/DISPONIVEL
393,Um presente da Tiffany ,Melissa Hill,/DISPONIVEL
394,Os irmãos Tapper declaram guerra (um contra o outro),Geoff Rodkey,/DISPONIVEL
395,Todos Envolvidos ,Ryan Gattis,/DISPONIVEL
396,Uma chance de lutar, Elizabeth Warren ,/DISPONIVEL
397,Temporada de acidentes ,Moïra Fowley-Doyle,/DISPONIVEL
398,Aceitação,Jeff VanderMeer,/DISPONIVEL
399,Eu sou o peregrino,Terry Hayes,/DISPONIVEL
400,O amor segundo Buenos Aires,Fernando Scheller,/DISPONIVEL
401,O mistério do mapa,Kory Merritt e Jack Chabert,/DISPONIVEL
402,A agenda antiplanos,Keri Smith,/DISPONIVEL
403,Solteirona - O Direito de Escolher a Própria Vida,Kate Bolick,/DISPONIVEL
404,Baía da Esperança,Jojo Moyes,/DISPONIVEL
405,Cidade dos Etéreos,Ransom Riggs,/DISPONIVEL
406,Destinos e fúrias,Lauren Groff,/DISPONIVEL
407,A Ditadura Acabada,Elio Gaspari,/DISPONIVEL
408,Box Coleção Ditadura,Elio Gaspari,/DISPONIVEL
409,A Última Carta de Amor ,Jojo Moyes,/DISPONIVEL
410,Como eu era antes de você,Jojo Moyes,/DISPONIVEL
411,Frank Einstein e o Turbocérebro,Jon Scieszka,/DISPONIVEL
412,Os afetos,Rodrigo Hasbún ,/DISPONIVEL
413,Garoto 21,Matthew Quick,/DISPONIVEL
414,Porcelain,Moby,/DISPONIVEL
415,Como Mentir com Estatistica,Darrell Huff,/DISPONIVEL
416,F de falcão,Helen Macdonald,/DISPONIVEL
417,As Chamas do Paraíso,Robert Jordan,/DISPONIVEL
418,Lugar Nenhum,Neil Gaiman,/DISPONIVEL
419,Loney,Andrew Michael Hurley,/DISPONIVEL
420,A outra história,Tatiana de Rosnay,/DISPONIVEL
421,Welcome to Night Vale,Jeffrey Cranor,/DISPONIVEL
422,No reino do gelo,Hampton Sides,/DISPONIVEL
423,O Adulto,Gillian Flynn,/DISPONIVEL
424,O navio das noivas,Jojo Moyes,/DISPONIVEL
425,Pó de Lua nas noites em claro,Clarice Freire,/DISPONIVEL
426,Nada Mais a Perder,Jojo Moyes,/DISPONIVEL
427,Pax,Sara Pennypacker,/DISPONIVEL
428,Como Mentir com Estatística,Darrell Huff,/DISPONIVEL
429,O dia da morte de Denton Little,Lance Rubin,/DISPONIVEL
430,Belgravia ,Julian Fellowes,/DISPONIVEL
431,O tigre,John Vaillant,/DISPONIVEL
432,Faca de Água,Paolo Bacigalupi,/DISPONIVEL
433,Alerta de risco,Neil Gaiman,/DISPONIVEL
434,Box Os Heróis do Olimpo,Rick Riordan,/DISPONIVEL
435,Colheita,James Frey,/DISPONIVEL
